Drug Class,Medications,AHA Lab Trigger,Caution Headline,Caution Note,ICD-10 Diagnostic Code,SNOMED,,
CNS: stimulants,"Amphetamines (e.g., Adderall, methamphetamine, ecstasy or methylenedioxymethamphetamine), Methylphenidate (e.g., Ritalin, Concerta), Dexedrine, Zenzedi, Methcathinone, Ephedrine, Armodafinil, Atomoxetine, Cocaine, Modafinil, Oxybate, Pitolisant, Khat, Diet aids: Didrex®, Bontril®, Preludin®, Fastin®, Adipex P®, Ionomin®, and Meridia®","dysfunctional or problematic heart, kidney, or liver issues",Side effect of drug,"The medication stimulates the neurotransmitter norepinephrine (NE; adrenaline) release. NE increases motor activity and can cause restlessness, body tremors, excess talking, exaggerated body reflexes, runny nose, dry mouth, grinding teeth, reduced appetite, sleep problems, high blood pressure and blood sugar, irregular heart rate and respiratory rate, and mood instability (i.e., anxiety, paranoia, psychosis, depression, and suicidal ideations).",T88.7XXA,69449002,,
CNS: adamantanes,"Amantadine, Rimantadine, Memantine","dysfunctional or problematic small intestine, liver, thyroid, or kidney issues; abnormal creatinine, homocysteine, BUN, total protein, CRP, hs-CRP, cardiac CRP, or bilirubin level",Accidental side effect of Parkinson agent,"The medication damages the gut microbiome, reduces food digestion, the absorption and transportation of vital nutrients to peripheral tissues, and cellular waste excretion. This can reduce vital bodily functions and increase the risk of cancer cell growth, infections, autoimmune disorders, fractures, and multiorgan dysfunction.",T42.8X5A,430136001,,
,,,,,,,,
Skin: retinoids (vitamin A derivative),"Tretinoin (Retin-A, Renova), Adapalene (Differin), Tazarotene (Tazorac), Alitretinoin (Alear), Isotretinoin (Accutane), Retinol (Vitamin A), Retinaldehyde (Retin-AL), and Crystal Retinal (K-Retin). ","dysfunctional or problematic liver issues; abnormal bilirubin, red blood cell, BUN, total protein, CRP, hs-CRP, or cardiac CRP level",Side effect of drug,"The medication overstimulates liver cells, alters metabolic pathways,  reduces dietary fat and protein breakdown, and raises blood sugar levels. This can. cause various symptoms, such as headache, dizziness, muscle aches, weakness, and tenderness; digestive issues (i.e., constipation, diarrhea, gas, bloating, nausea or vomiting), joint pains, skin reactions, and respiratory infections.",T88.7XXA,69449002,,
Skin: Acitretin,Acitretin (Soriatane),"dysfunctional or problematic liver issues; abnormal bilirubin, red blood cell, BUN, total protein, CRP, hs-CRP, or cardiac CRP level",Adverse effect of acitretin,"The medication overstimulates liver cells, alters metabolic pathways,  reduces dietary fat and protein breakdown, and raises blood sugar levels. This can. cause various symptoms, such as headache, dizziness, muscle aches, weakness, and tenderness; digestive issues (i.e., constipation, diarrhea, gas, bloating, nausea or vomiting), joint pains, skin reactions, and respiratory infections.",T50.995A,292667006,,
,,,,,,,,
GI: H2-receptor antagonists,"Cimetidine, Famotidine, Nizatidine","dysfunctional or problematic stomach, small intestine, heart, kidney, or liver function issues; abnormal homocysteine level",Adverse effect of agent primarily affecting gastrointestinal system,"The medication increases the movement and function of cells in the gastrointestinal tract, bladder, nerve, and muscles, dysregulates fluid and electrolyte balance. This can present as diarrhea, bladder spasms, sweating, drooling, and decreased heart rate and blood pressure, confusion, psychosis, gait imbalance, fainting spells, urinary retention, dry mouth, and increase the risk of fractures, falls, dementia, stroke, and all-cause mortality.",T47.95XA,62014003,,
GI: Proton pump inhibitors ,"Dexlansoprazole, Esomeprazole, Lansoprazole, Omeprazole, Pantoprazole, Rabeprazole","dysfunctional or problematic stomach, small intestine, heart, kidney, or liver function issues; abnormal homocysteine level",Adverse effect of agent primarily affecting gastrointestinal system,"The medication damages the gut microbiome, reduces food digestion, the absorption and transportation of vital nutrients to peripheral tissues, and cellular waste excretion. This can reduce vital bodily functions and increase the risk of cancer cell growth, infections, autoimmune disorders, fractures, and multiorgan dysfunction.",T47.95XA,62014003,,
GI: antiemetics,"Aprepitant, Domperidone, Dronabinol, Trimethobenzamide, Emetrol, Alizapride, Bismuth subsalicylate","dysfunctional or problematic stomach, small intestine, heart, kidney, or liver function issues; abnormal homocysteine level",Adverse effect of agent primarily affecting gastrointestinal system,"The medication blocks brain cells from signaling nausea and vomiting and can cause fatigue, headache, constipation, and decreased appetite.",T47.95XA,62014003,,
GI: laxatives,"Lubiprostone (Amitiza), Linaclotide (Linzess), Plecanatide (Trulance), Prucalopride (Motegrity), Methylnaltrexone (Relistor), Naldemedine (Symproic), and Naloxegol (Movantik).","dysfunctional or problematic stomach, small intestine, or kidney issues",Adverse effect of agent primarily affecting gastrointestinal system,"The medication altersss gut function and fluid and electrolyte balance. This can present as bloating, excess gas, abdominal cramps, nausea, and diarrhea and increase the risk of autoimmune disorders (i.e., inflammatory bowel diseases).",T47.95XA,62014003,,
,,,,,,,,
Immunostimulants,"Glatiramer (Copaxone), trilaciclib (Cosela), plerixafor (Mozobil), mavorixafor (Xolremdi), elapegademase (Revcovi)","dysfunctional or problematic stomach, small intestine, heart, kidney, thyroid, or liver issues",Adverse effect of agent primarily affecting gastrointestinal system,"The medication altersss gut function and fluid and electrolyte balance. This can present as bloating, excess gas, abdominal cramps, nausea, and diarrhea and increase the risk of autoimmune disorders (i.e., inflammatory bowel diseases).",T47.95XA,62014003,,
,,,,,,,,
Selective immunosuppressants,"Abatacept (Orencia), Azathioprine (Imuran), Baricitinib (Olumiant), Belatacept (Nulojix), Belimumab (Benlysta), Cyclosporine (Neoral, Sandimmune), Etanercept (Enbrel), Everolimus (Zortress), Leflunomide (Arava), Mycophenolate mofetil (CellCept), Natalizumab (Tysabri), Sirolimus (Rapamune), Tacrolimus (Prograf), Tofacitinib (Xeljanz), Upadacitinib (Rinvoq)","dysfunctional kidney, heart, or liver issues",Side effect of drug,"The medication can alter liver, kidney, and heart function. This can present with various symptoms, such as fatigue, itching, fever, headache, cough, nausea, musculoskeletal pain, upper and lower respiratory tract inflammation and infection, blurred vision, dizziness, loss of appetite, or digestive issues.",T88.7XXA,69449002,,
Monoclonal antibodies ,"Adalimumab (Humira), Alemtuzumab (Lemtrada), Anifrolumab (Saphnelo), Basiliximab (Simulect), Belimumab (Benlysta), Canakinumab (Ilaris), Certolizumab pegol (Cimzia), Eculizumab (Soliris), Golimumab (Simponi), Infliximab (Remicade), Ixekizumab (Taltz), Mepolizumab (Nucala), Muromonab-CD3 (Orthoclone OKT3), Natalizumab (Tysabri), Ofatumumab (Kesimpta), Rituximab (Rituxan), Sarilumab (Kevzara), Secukinumab (Cosentyx), Tocilizumab (Actemra), Ustekinumab (Stelara), Vedolizumab (Entyvio)","dysfunctional kidney, heart, or liver issues",Side effect of drug,"The medication suppresses the immune system and decrease blood cells that help fight infections and stop bleeding. This can lead to easy bruising, bleeding, persistent fever, numbness, tingling, vision changes, musculoskeletal weakness or pain, breathing trouble, infections, seizures, rashes, dizziness, digestive, urinary, or cardiovascular issues.",T88.7XXA,69449002,,
,,,,,,,,
Antimicrobial:  Aminoglycosides,"Streptomycin, Gentamicin, tobramycin, amikacin, neomycin, plazomicin","dysfunctional or problematic heart, kidney, or liver issues; abnormal bilirubin, BUN, total protein, CRP, hs-CRP, cardiac CRP, or homocysteine level",Adverse effect of agent primarily affecting gastrointestinal system,"The medication inhibits protein synthesis and DNA replication by gut bacteria and reduces food digestion, the absorption and transportation of vital nutrients, and cellular waste excretion. Malnourished cells are susceptible to genetic mutations and premature death, increasing the risk of cancer cell growth, infections, autoimmune disorders, fractures, cardiovascular complications, and multiorgan dysfunction. ",T47.95XA,62014003,,
Antimicrobial:  Cephalosporins,"Cefixime, Ceftriaxone, Cefuroxime, Cefaclor, Cefadroxil, Cefditoren, Cefepime, Cefotaxime, Cephalexin, Cefdinir, Ceftazidime","dysfunctional or problematic small intestine, stomach, liver, kidneys, or lung issues; abnormal bilirubin, BUN, total protein, CRP, hs-CRP, cardiac CRP, or homocysteine level",Adverse effect of agent primarily affecting gastrointestinal system,"The medication inhibits cell wall synthesis by gut bacteria and reduces food digestion, the absorption and transportation of vital nutrients, and cellular waste excretion. Malnourished cells are susceptible to genetic mutations and premature death, increasing the risk of cancer cell growth, infections, autoimmune disorders, fractures, cardiovascular complications, and multiorgan dysfunction. ",T47.95XA,62014003,,
Antimicrobial:  Tetracyclines,"Doxycycline (Acticlate, Adoxa, Doryx, Vibramycin), Minocycline (Amzeeq, Arestin, Ximino, Solodyn), Demeclocycline, Chlortetracycline (Aureomycin), Oxytetracycline (Terramycin), 
Eravacycline (Xerava), Sarecycline (Seysara), Omadacycline (Nuzyra)","dysfunctional or problematic small intestine, stomach, liver, kidneys, thyroid, or lung issues; abnormal bilirubin, BUN, total protein, CRP, hs-CRP, cardiac CRP, or homocysteine level",Adverse effect of agent primarily affecting gastrointestinal system,"The medication inhibits protein synthesis and DNA replication by gut bacteria and reduces food digestion, the absorption and transportation of vital nutrients, and cellular waste excretion. Malnourished cells are susceptible to genetic mutations and premature death, increasing the risk of cancer cell growth, infections, autoimmune disorders, fractures, cardiovascular complications, and multiorgan dysfunction. ",T47.95XA,62014003,,
Antimicrobial:  Penicillins,"Amoxicillin, Augmentin, Ampicillin, Carbenicillin, Dicloxacillin, Flucloxacillin, Nafcillin, Oxacillin, Penicillin G, Penicillin V, Piperacillin-tazobactam","dysfunctional or problematic small intestine, stomach, liver, kidneys, thyroid, or lung issues; abnormal bilirubin, BUN, total protein, CRP, hs-CRP, cardiac CRP, or homocysteine level",Adverse effect of agent primarily affecting gastrointestinal system,"The medication inhibits cell wall synthesis by gut bacteria and reduces food digestion, the absorption and transportation of vital nutrients, and cellular waste excretion. Malnourished cells are susceptible to genetic mutations and premature death, increasing the risk of cancer cell growth, infections, autoimmune disorders, fractures, cardiovascular complications, and multiorgan dysfunction. ",T47.95XA,62014003,,
Antimicrobial:  Sulfonamides,"Sulfamethoxazole-trimethoprim (TMP/SMX, Bactrim), Sulfadoxine, Sulfamethazine, Sulfadiazine, Sulfisoxazole, Sulfasalazine (Azulfidine)","dysfunctional or problematic small intestine, stomach, liver, kidneys, thyroid, or lung issues; abnormal bilirubin, BUN, total protein, CRP, hs-CRP, cardiac CRP, or homocysteine level",Adverse effect of agent primarily affecting gastrointestinal system,"The medication inhibits folate (vitamin B9) synthesis, alters metabolic pathways, reduces dietary fat and protein breakdown, and raises blood sugars levels. Malnourished cells are susceptible to genetic mutations and premature death, increasing the risk of cancer cell growth, infections, autoimmune disorders, fractures, cardiovascular complications, and multiorgan dysfunction. ",T47.95XA,62014003,,
Antimicrobial:  Fluoroquinolones,"Ciprofloxacin (Cipro), Delafloxacin (Delavega), Gemifloxacin (Factive), Levofloxacin (Levaquin), Moxifloxacin (Avelox), Norfloxacin (Noroxin), Ofloxacin (Ocuflox), Pefloxacin (Proquin), and Rufloxacin (Zagam). ","dysfunctional or problematic small intestine, stomach, liver, kidneys, thyroid, or lung issues; abnormal bilirubin, BUN, total protein, CRP, hs-CRP, cardiac CRP, or homocysteine level",Adverse effect of 4-quinolone,"The medication inhibits DNA replication by gut bacteria and reduces food digestion, the absorption and transportation of vital nutrients, and cellular waste excretion. Malnourished cells are susceptible to genetic mutations and premature death, increasing the risk of cancer cell growth, infections, autoimmune disorders, fractures, cardiovascular complications, and multiorgan dysfunction. ",T37.8X5A,292945007,,
Antimicrobial:  Macrolides,"Erythromycin, Clarithromycin, Azithromycin, Telithromycin, Roxithromycin, Dirithromycin, Oleandomycin, Kitasamycin, Midecamycin, Rifamycin (Rifaximin)","dysfunctional or problematic small intestine, stomach, liver, kidneys, thyroid, or lung issues; abnormal bilirubin, BUN, total protein, CRP, hs-CRP, cardiac CRP, or homocysteine level",Adverse effect of agent primarily affecting gastrointestinal system,"The medication inhibits protein synthesis and DNA replication by gut bacteria and reduces food digestion, the absorption and transportation of vital nutrients, and cellular waste excretion. Malnourished cells are susceptible to genetic mutations and premature death, increasing the risk of cancer cell growth, infections, autoimmune disorders, fractures, cardiovascular complications, and multiorgan dysfunction. ",T47.95XA,62014003,,
Antimicrobial:  Carbapenems,"Imipenem, Meropenem, Ertapenem, Doripenem, Panipenem, Biapenem, Tebipenem","dysfunctional or problematic small intestine, stomach, liver, kidneys, thyroid, or lung issues; abnormal bilirubin, BUN, total protein, CRP, hs-CRP, cardiac CRP, or homocysteine level",Adverse effect of agent primarily affecting gastrointestinal system,"The medication inhibits cell wall synthesis by gut bacteria and reduces food digestion, the absorption and transportation of vital nutrients, and cellular waste excretion. Malnourished cells are susceptible to genetic mutations and premature death, increasing the risk of cancer cell growth, infections, autoimmune disorders, fractures, cardiovascular complications, and multiorgan dysfunction. ",T47.95XA,62014003,,
Antimicrobial:  Lincosamides,"Clindamycin (Cleocin, Dalacin, Clinimycin), Lincomycin (Lincocin), Pirlimycin","dysfunctional or problematic small intestine, stomach, liver, kidneys, thyroid, or lung issues; abnormal bilirubin, BUN, total protein, CRP, hs-CRP, cardiac CRP, or homocysteine level",Adverse effect of agent primarily affecting gastrointestinal system,"The medication inhibits protein synthesis and DNA replication by gut bacteria and reduces food digestion, the absorption and transportation of vital nutrients, and cellular waste excretion. Malnourished cells are susceptible to genetic mutations and premature death, increasing the risk of cancer cell growth, infections, autoimmune disorders, fractures, cardiovascular complications, and multiorgan dysfunction. ",T47.95XA,62014003,,
Antimicrobial: Glycopeptides,"vancomycin, teicoplanin, oritavancin, dalbavancin, and telavancin","dysfunctional or problematic small intestine, stomach, liver, kidneys, thyroid, or lung issues; abnormal bilirubin, BUN, total protein, CRP, hs-CRP, cardiac CRP, or homocysteine level",Adverse effect of agent primarily affecting gastrointestinal system,"The medication inhibits cell wall synthesis by gut bacteria and reduces food digestion, the absorption and transportation of vital nutrients, and cellular waste excretion. Malnourished cells are susceptible to genetic mutations and premature death, increasing the risk of cancer cell growth, infections, autoimmune disorders, fractures, cardiovascular complications, and multiorgan dysfunction. ",T47.95XA,62014003,,
Antimicrobial,Nitrofurantoin (Macrobid),"dysfunctional or problematic small intestine, stomach, liver, kidneys, thyroid, or lung issues; abnormal bilirubin, BUN, total protein, CRP, hs-CRP, cardiac CRP, or homocysteine level",Adverse effect of agent primarily affecting gastrointestinal system,"The medication inhibits protein synthesis and DNA replication by gut bacteria and reduces food digestion, the absorption and transportation of vital nutrients, and cellular waste excretion. Malnourished cells are susceptible to genetic mutations and premature death, increasing the risk of cancer cell growth, infections, autoimmune disorders, fractures, cardiovascular complications, and multiorgan dysfunction. ",T47.95XA,62014003,,
Antifungals,"Clotrimazole, Econazole, Ketoconazole, Terbinafine (Lamisil), Fluconazole (Diflucan), Amphotericin B,  Oxiconazole,Terconazole, Ciclopirox (Loprox) ","dysfunctional or problematic small intestine, stomach, liver, bone marrow, thyroid, or kidneys issues; abnormal bilirubin, BUN, total protein, CRP, hs-CRP, cardiac CRP, or homocysteine level",Adverse effect of agent primarily affecting gastrointestinal system,"The medication damages the gut microbiome, reduces food digestion, the absorption and transportation of vital nutrients to peripheral tissues, and cellular waste excretion. This can reduce vital bodily functions and increase the risk of cancer cell growth, infections, autoimmune disorders, fractures, and multiorgan dysfunction.",T47.95XA,62014003,,
Antimalarial drugs,"Quinine, chloroquine, mefloquine, Artemether-lumefantrine (Coartem), Artesunate-amodiaquine (Artex, Malarone), Hydroxychloroquine, Pyrimethamine-sulfadoxine (Fansidar), Atovaquone-proguanil, Tafenoquine ","dysfunctional or problematic small intestine, stomach, liver, bone marrow, thyroid, or kidneys issues; abnormal bilirubin, BUN, total protein, CRP, hs-CRP, cardiac CRP, or homocysteine level",Adverse effect of agent primarily affecting gastrointestinal system,"The medication damages the gut microbiome, reduces food digestion, the absorption and transportation of vital nutrients to peripheral tissues, and cellular waste excretion. This can reduce vital bodily functions and increase the risk of cancer cell growth, infections, autoimmune disorders, fractures, and multiorgan dysfunction.",T47.95XA,62014003,,
Antiprotozoal drugs,"Metronidazole, tinidazole, Fexinidazole, Nitazoxanide,Pentamidine,Quinacrine, Atovaquone, Primaquine, Artesunate, Eflornithine, Fumagillin, Furazolidone, Lincosamides, Paromomycin, Pyrimethamine, Tinidazole","dysfunctional or problematic small intestine, stomach, liver, bone marrow, thyroid, or kidneys issues; abnormal bilirubin, BUN, total protein, CRP, hs-CRP, cardiac CRP, or homocysteine level",Adverse effect of agent primarily affecting gastrointestinal system,"The medication damages the gut microbiome, reduces food digestion, the absorption and transportation of vital nutrients to peripheral tissues, and cellular waste excretion. This can reduce vital bodily functions and increase the risk of cancer cell growth, infections, autoimmune disorders, fractures, and multiorgan dysfunction.",T47.95XA,62014003,,
Anthelminthic drugs,"Ivermectin (Stromectol), Diethylcarbamazine, Levamisole, Mebendazole, Praziquantel, Pyrantel (Ascarel, Pin-Away, Pinworm Medicine, Reese's Pinworm Medicine), Thiabendazole, Piperazine, Niclosamide","dysfunctional or problematic small intestine, stomach, liver, bone marrow, thyroid, or kidneys issues; abnormal bilirubin, BUN, total protein, CRP, hs-CRP, cardiac CRP, or homocysteine level",Adverse effect of agent primarily affecting gastrointestinal system,"The medication damages the gut microbiome, reduces food digestion, the absorption and transportation of vital nutrients to peripheral tissues, and cellular waste excretion. This can reduce vital bodily functions and increase the risk of cancer cell growth, infections, autoimmune disorders, fractures, and multiorgan dysfunction.",T47.95XA,62014003,,
Anthelminthic drugs,albendazole (Albenza),"dysfunctional or problematic small intestine, stomach, liver, bone marrow, thyroid, or kidneys issues; abnormal bilirubin, BUN, total protein, CRP, hs-CRP, cardiac CRP, or homocysteine level",Adverse effect of albendazole,"The medication damages the gut microbiome, reduces food digestion, the absorption and transportation of vital nutrients to peripheral tissues, and cellular waste excretion. This can reduce vital bodily functions and increase the risk of cancer cell growth, infections, autoimmune disorders, fractures, and multiorgan dysfunction.",T37.4X5A,292918006,,
Ectoparasiticidal drugs,"Pyrethins, permethrin, Lindane, Pyrethroids, Selamectin, Milbemycin oxime, Isoxazoline, Benzyl benzoate, Crotamiton, and Fipronil","dysfunctional or problematic small intestine, stomach, liver, bone marrow, thyroid, or kidneys issues; abnormal bilirubin, BUN, total protein, CRP, hs-CRP, cardiac CRP, or homocysteine level",Adverse effect of agent primarily affecting gastrointestinal system,"The medication damages the gut microbiome, reduces food digestion, the absorption and transportation of vital nutrients to peripheral tissues, and cellular waste excretion. This can reduce vital bodily functions and increase the risk of cancer cell growth, infections, autoimmune disorders, fractures, and multiorgan dysfunction.",T47.95XA,62014003,,
Antivirals,"Adefovir, Ribavirin, Nevirapine, Delavirdine, Efavirenz, Abacavir, Zidovudine (Retrovir, ZDV, AZT), Ritonavir, Foscarnet, Lamivudine, Oseltamivir, Zanamivir, Peramivir, Baloxavir marboxil, Famciclovir, Bictegravir, Cabotegravir, Dolutegravir (Tivicay, DTG), Raltegravir (Isentress, RAL), Atazanavir (Reyataz), Amprenavir, Darunavir (Prezista), Fosamprenavir (Lexiva), Indinavir (Crixivan), Lopinavir/ritonavir (Kaletra), Nelfinavir (Viracept), Ritonavir (Norvir), Saquinavir (Invirase),Tipranavir (Aptivus), Abacavir (Ziagen, ABC), Didanosine (Videx, Videx EC, ddI), Emtricitabine (Emtriva, FTC), Lamivudine (Epivir, 3TC), Stavudine (Zerit, Zerit XR, d4T), Tenofovir DF (Viread, TDF), Tenofovir AF (TAF), Zalcitabine (Hivid, ddC), Elvitegravir (Vitekta, EVG)","dysfunctional or problematic small intestine, liver, thyroid, or kidney issues; abnormal creatinine, homocysteine, BUN, total protein, CRP, hs-CRP, cardiac CRP, or bilirubin level",Adverse effect of agent primarily affecting gastrointestinal system,"The medication damages the gut microbiome, reduces food digestion, the absorption and transportation of vital nutrients to peripheral tissues, and cellular waste excretion. This can reduce vital bodily functions and increase the risk of cancer cell growth, infections, autoimmune disorders, fractures, and multiorgan dysfunction.",T47.95XA,62014003,,
Antiviral: Acyclovir,Acyclovir,"dysfunctional or problematic small intestine, liver, thyroid, or kidney issues; abnormal creatinine, homocysteine, BUN, total protein, CRP, hs-CRP, cardiac CRP, or bilirubin level",Adverse effect of acyclovir,"The medication damages the gut microbiome, reduces food digestion, the absorption and transportation of vital nutrients to peripheral tissues, and cellular waste excretion. This can reduce vital bodily functions and increase the risk of cancer cell growth, infections, autoimmune disorders, fractures, and multiorgan dysfunction.",T37.5X5A,292844007,,
Antimycobacterials,"isoniazid (INH), rifampin, ethambutol, pyrazinamide, kanamycin, cycloserine, rifabutin, capreomycin, ethionamide, clofazimine, bedaquiline, delamanid","dysfunctional or problematic small intestine, liver, thyroid, or kidney issues; abnormal creatinine, homocysteine, BUN, total protein, CRP, hs-CRP, cardiac CRP, or bilirubin level",Adverse effect of agent primarily affecting gastrointestinal system,"The medication damages the gut microbiome, reduces food digestion, the absorption and transportation of vital nutrients to peripheral tissues, and cellular waste excretion. This can reduce vital bodily functions and increase the risk of cancer cell growth, infections, autoimmune disorders, fractures, and multiorgan dysfunction.",T47.95XA,62014003,,
,,,,,,,,
Pulmonary: Beta-2 agonists,"Formoterol, Salmeterol,Terbutaline, Arformoterol, Pirbuterol, Procaterol, levalbuterol, fenoterol, bitolterol, metaproterenol, olodaterol, vilanterol, Higenamine, Indacaterol, Levosalbutamol, Reproterol, Salbutamol, Tretoquinol (trimetoquinol), Tulobuterol, clenbuterol","dysfunctional or problematic heart, pancreas, liver, or kidney issues; abnormally high blood glucose or HbA1c level ",Adverse effect of agent primarily acting on respiratory system,"The medication relaxes muscles in the lungs and blood vessels, promotes stored glucose (glycogen) breakdown, and dysregulates electrolyte balance. This can present as hand tremors, nervousness, shakiness, headaches, increased heart rate and blood pressure, muscle cramps, throat or nasal irritation, upset stomach, sleep problems, and dizziness.",T48.905A,62014003,,
Pulmonary: Beta-2 agonist Albuterol,Albuterol,"dysfunctional or problematic heart, pancreas, liver, or kidney issues; abnormally high blood glucose or HbA1c level ",Adverse effect of albuterol,"The medication relaxes muscles in the lungs and blood vessels, promotes stored glucose (glycogen) breakdown, and dysregulates electrolyte balance. This can present as hand tremors, nervousness, shakiness, headaches, increased heart rate and blood pressure, muscle cramps, throat or nasal irritation, upset stomach, sleep problems, and dizziness.",T48.6X5A,292495000,,
Pulmonary,theophylline,"dysfunctional or problematic heart or kidney issues; abnormally low hemoglobin, red blood cell (RBC), or hematocrit level",Adverse effect of agent primarily acting on respiratory system,"The medication increases blood flow in the lungs, dsyregulate fluid balance, and can cause fluid retention in various organs. This can present as cognitive and nervous system disturbances (i.e., depression, anxiety, aggression, irritability, sleep troubles, lightheadedness, shakiness, and headache), digestive issues (i.e., abdominal pain, nausea, diarrhea, or irritable bowel) and increase the risk of breathing difficulty, chest pain, elevated heart rate, tremors, and seizures. ",T48.905A,62014003,,
Pulmonary: Expectorants,"guaifenesin (Mucinex, Xpect, Healthy Accents Tussin DM), potassium iodide (iOSTAT), carbocisteine, erdosteine, and ambroxol",dysfunctional or problematic stomach or small intestine issues,Adverse effect of agent primarily acting on respiratory system,"The medication increases the volume of saliva and decreases the thickness of bronchial secretion, thereby eliminating phlegm from the respiratory tract. Because it also suppresses the cough reflex by brain cells and dysregulates fluid balance, the drug can cause various symptoms, such as dizziness, constipation, headache, and fatigue.",T48.905A,62014003,,
Pulmonary: leukotriene modifiers ,"Montelukast (Singulair), Zafirlukast (Accolate), pranlukast. zileuton","dysfunctional or problematic small intestine or liver issues; abnormal homocysteine, BUN, total protein, CRP, hs-CRP, cardiac CRP, or bilirubin level",Adverse effect of agent primarily acting on respiratory system,"The medication increases blood flow in the lungs, dsyregulate fluid balance, and can cause fluid retention in various organs. This can present as cognitive and nervous system disturbances (i.e., depression, anxiety, aggression, irritability, sleep troubles, lightheadedness, shakiness, and headache), digestive issues (i.e., abdominal pain, nausea, diarrhea, or irritable bowel) and increase the risk of breathing difficulty, chest pain, elevated heart rate, tremors, and seizures. ",T48.905A,62014003,,
serotonin 5-HT3 receptor antagonists,"Ondansetron (Zofran), Granisetron (Kytril), Dolasetron (Anzemet), Palonosetron (Aloxi), Alosetron (Lotronex)","dysfunctional or problematic heart, stomach, and small intestine issues",,"The medication increases the neurotransmitter and hormone serotonin in synapses and dysregulates fluid balance. This can present as cognitive disturbances (i.e., confusion, headache, dizziness, fatigue, agitation, and restlessness), irregular heart rhythm, and digestive issues (i.e., constipation and diarrhea). ",,,,
,,,,,,,,
Urinary incontinence: antimuscarinic agents ,"Atropine, Scopolamine, Oxybutynin, Tolterodine, Glycopyrrolate, trospium, darifenacin, and solifenacin","dysfunctional or problematic heart, stomach, prostate, liver, kidney, and small intestine issues",Side effect of drug,"The medication blocks the neurotransmitter acetylcholine's activity on peripheral tissues and nerves. This can. cause various symptoms, such as dry mouth, dilates pupils, blurred vision, constipation, urinary retention, rapid heart rate, and cognitive impairment, and increase the risk of glaucoma and multiorgan dysfunction.",T88.7XXA,69449002,,
Nocturnal urinary frequency drugs,"Desmopressin, Vasopressin, Terlipressin, Conivaptan (Vaprisol), Tolvaptan (Jinarc, Samsca), Demeclocycline, argipressin, lypressin, ornipressin, and oxytocin","dysfunctional or problematic lung, heart, liver, or kidney issues; abnormal sodium, potassium, chloride, magnesium, phosphorus, blood glucose, or HbA1c level",Side effect of drug,"The medication dysregulates fluid and electrolyte balance and promotes fluid retention in various organs. This can. cause various symptoms, such as irregular heart rhythm, low or high blood pressure, weakness, muscle cramps, dizziness, fainting spells, frequent urination, gout, increased thirst, fatigue, nausea, dry mouth, constipation, sexual dysfunction, and brain and nervous system issues -- confusion, psychosis, anxiety, depression, paranoia, suicide ideations, gait imbalance, psychomotor dysfunction, or headache -- and increase the risk of fracture, falls, diabetes, dementia, enlarged prostate, stroke, heart attack, and all-cause mortality.",T88.7XXA,69449002,,
"Urinary retention, decreased bowel motility, and to reverse neuromuscular blockade (such as in myasthenia gravis): Muscarinic agonist","Bethanechol (Urecholine, Duvoid), Prostigmin, Bloxiverz","dysfunctional or problematic heart, stomach, prostate, liver, kidney, and small intestine issues",Side effect of drug,"The medication increases the function and motility of the gastrointestinal tract, kidneys, and bladder. This can. cause various symptoms, such as diarrhea, bladder spasms, sweating, drooling, decreased heart rate, and low or high blood pressure.",T88.7XXA,69449002,,
Overactive Bladder: beta-3 adrenergic receptor agonist,Mirabegron (Myrbetriq) and Vibegron,"dysfunctional or problematic heart, small intestine, or kidney issues",Side effect of drug,"The medication increases the production of growth-promoting hormones like insulin, pituitary growth hormone, thyroid hormones, and the sex hormones testosterone and estrogen. This alters metabolic pathways, reduces dietary fat and protein breakdown, and raises blood sugar levels. This can cause various symptoms, such as headache, dizziness, muscle aches, joint pain, weakness, and tenderness; digestive issues (i.e., constipation, diarrhea, gas, bloating, nausea or vomiting), sleep problems, skin flushing, confusion, and memory loss, and increase the risk of diabetes, obesity, genetic mutations, autoimmune disorders, cardiovascular complications, infections, and cancer cell growth.",T88.7XXA,69449002,,
,,,,,,,,
Anti-thyroid gland ,"Methimazole, propylthiouracil","abnormally high blood glucose, HbA1c, cholesterol, or triglyceride level",,"The medication reduces the synthesis of thyroid hormones and decreases red blood cell production. Reducing peripheral tissue oxygenation can trigger inflammatory processes that raise blood pressure, decrease blood flow, and prematurely damage various organs. ",,,,
Hormones: Thyroid hormones,"Levothyroxine (Synthroid), Dessicated thyroid, liothyronine, tirosint","abnormally high blood glucose, HbA1c, cholesterol, or triglyceride levels; abnormal BUN level",Adverse effect hormone,"The medication reduces the uptake of thyroid hormones into cells, red blood cell production, and peripheral tissue oxygenation. This can present as inflammatory processes that raise blood pressure, decrease blood flow, and prematurely damage various organs. ",T38.805A,293133009,,
